Well;Unit;Facies;Facies Thickness;Flow thickness;Core Proportion
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,44;;
1-AV-001-PR;Pitanga;Volcaniclastics (undiff.);1,17;1,17;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);14,16;50,51;0,694317957
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;35,07;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,28;;
1-AV-001-PR;Pitanga;Compound lava (basic);16,4;16,4;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);9,52;27,04;0,600591716
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;16,24;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,28;;
1-AV-001-PR;Pitanga;Siliciclastics;1,52;1,52;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);10,8;35,28;0,662131519
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;23,36;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,12;;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);18,72;35,44;0,442437923
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;15,68;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,04;;
1-AV-001-PR;Pitanga;Siliciclastics;1,44;1,44;
1-AV-001-PR;Pitanga;Compound lava (basic);15,92;15,92;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);7,44;17,44;0,490825688
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;8,56;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,44;;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);9,17;24,4;0,578278689
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;14,11;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,12;;
1-AV-001-PR;Pitanga;Siliciclastics;4,24;4,24;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);8,53;20,96;0,470896947
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;9,87;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);2,56;;
1-AV-001-PR;Pitanga;Compound lava (basic);48,96;48,96;
1-AV-001-PR;Pitanga;Simple lava (basic | rubbly flow top);4,88;10,96;0,408759124
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;4,48;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,6;;
1-AV-001-PR;Pitanga;Siliciclastics;2,8;2,8;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);12,88;24,64;0,405844156
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;10;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,76;;
1-AV-001-PR;Vale do Sol;Compound lava (basic);14,4;14,4;
1-AV-001-PR;Vale do Sol;Simple lava (basic | U. crust);7,81;36,96;0,641504329
1-AV-001-PR;Vale do Sol;Simple lava (basic | massive interior) ;23,71;;
1-AV-001-PR;Vale do Sol;Simple lava (basic | L. crust);5,44;;
1-AV-001-PR;Vale do Sol;Compound lava (basic);11,52;11,52;
1-AV-001-PR;Vale do Sol;Simple lava (basic | U. crust);9,89;35,84;0,688337054
1-AV-001-PR;Vale do Sol;Simple lava (basic | massive interior) ;24,67;;
1-AV-001-PR;Vale do Sol;Simple lava (basic | L. crust);1,28;;
1-AV-001-PR;Vale do Sol;Compound lava (basic);17,89;17,89;
